anonID,importId,goal,goal_number,goal_type,optimal_moves,move_id,move,move_utility
Tte8PJ8ss9,96815,move red C,8,move,8,0,"(57, 68)",1
Tte8PJ8ss9,96815,move red C,8,move,8,1,"(75, 66)",1
Tte8PJ8ss9,96815,move red C,8,move,8,2,"(73, 49)",1
Tte8PJ8ss9,96815,move red C,8,move,8,3,"(91, 50)",1
Tte8PJ8ss9,96815,move red C,8,move,8,4,"(100, 48)",1
Tte8PJ8ss9,96815,move red C,8,move,8,5,"(81, 69)",1
Tte8PJ8ss9,96815,move red C,8,move,8,6,"(80, 79)",1
Tte8PJ8ss9,96815,move red C,8,move,8,7,"(98, 88)",1
Tte8PJ8ss9,96815,uncover green all,9,uncover,4,0,"(78, 76)",1
Tte8PJ8ss9,96815,uncover green all,9,uncover,4,1,"(81, 82)",1
Tte8PJ8ss9,96815,uncover green all,9,uncover,4,2,"(67, 89)",1
Tte8PJ8ss9,96815,uncover green all,9,uncover,4,3,"(84, 69)",1
Tte8PJ8ss9,96815,uncover red all,10,uncover,4,0,"(80, 79)",1
Tte8PJ8ss9,96815,uncover red all,10,uncover,4,1,"(86, 66)",1
Tte8PJ8ss9,96815,uncover red all,10,uncover,4,2,"(73, 72)",1
Tte8PJ8ss9,96815,uncover red all,10,uncover,4,3,"(57, 76)",1
MtbTXANUqM,53968,clear nocolor B1,1,clear,5,0,"(78, 57)",1
MtbTXANUqM,53968,clear nocolor B1,1,clear,5,1,"(96, 45)",1
MtbTXANUqM,53968,clear nocolor B1,1,clear,5,2,"(80, 82)",1
MtbTXANUqM,53968,clear nocolor B1,1,clear,5,3,"(98, 47)",1
MtbTXANUqM,53968,clear nocolor B1,1,clear,5,4,"(97, 64)",1
MtbTXANUqM,53968,clear nocolor C,2,clear,6,0,"(102, 82)",1
MtbTXANUqM,53968,clear nocolor C,2,clear,6,1,"(103, 47)",1
MtbTXANUqM,53968,clear nocolor C,2,clear,6,2,"(86, 64)",1
MtbTXANUqM,53968,clear nocolor C,2,clear,6,3,"(104, 29)",1
MtbTXANUqM,53968,clear nocolor C,2,clear,6,4,"(105, 11)",1
MtbTXANUqM,53968,clear nocolor C,2,clear,6,5,"(107, 46)",1
MtbTXANUqM,53968,cover blue all,3,cover,4,0,"(65, 84)",1
MtbTXANUqM,53968,cover blue all,3,cover,4,1,"(107, 87)",1
MtbTXANUqM,53968,cover blue all,3,cover,4,2,"(103, 69)",0
MtbTXANUqM,53968,cover blue all,3,cover,4,3,"(86, 103)",0
MtbTXANUqM,53968,cover blue all,3,cover,4,4,"(69, 85)",1
MtbTXANUqM,53968,cover blue all,3,cover,4,5,"(58, 57)",1
MtbTXANUqM,53968,cover green all,4,cover,7,0,"(73, 90)",0
MtbTXANUqM,53968,cover green all,4,cover,7,1,"(91, 72)",1
MtbTXANUqM,53968,cover green all,4,cover,7,2,"(74, 91)",0
MtbTXANUqM,53968,cover green all,4,cover,7,3,"(92, 73)",1
MtbTXANUqM,53968,cover green all,4,cover,7,4,"(58, 92)",0
MtbTXANUqM,53968,cover green all,4,cover,7,5,"(75, 74)",1
MtbTXANUqM,53968,cover green all,4,cover,7,6,"(59, 60)",1
MtbTXANUqM,53968,cover green all,4,cover,7,7,"(80, 45)",1
MtbTXANUqM,53968,cover green all,4,cover,7,8,"(100, 47)",1
MtbTXANUqM,53968,cover green all,4,cover,7,9,"(86, 85)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,0,"(59, 60)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,1,"(77, 79)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,2,"(95, 61)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,3,"(58, 62)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,4,"(63, 44)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,5,"(81, 43)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,6,"(99, 42)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,7,"(100, 26)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,8,"(65, 25)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,9,"(83, 24)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,10,"(101, 8)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,11,"(76, 7)",1
MtbTXANUqM,53968,fill nocolor B1,5,fill,13,12,"(94, 6)",1
