"anonID","importId","goal","goal_number","goal_type","min_moves","move_id","move","move_utility","move_type","gameId","playerId"
"bAXR6LSt9H","20340","move blue B",7,"move",9,4,"(73, 61)",1,"useful","0a1ada2b-a47f-4663-9c30-a5114ee60df1","13117"
"bAXR6LSt9H","20340","move blue B",7,"move",9,5,"(91, 63)",1,"useful","0a1ada2b-a47f-4663-9c30-a5114ee60df1","13117"
"bAXR6LSt9H","20340","move blue B",7,"move",9,6,"(72, 91)",1,"useful","0a1ada2b-a47f-4663-9c30-a5114ee60df1","13117"
"bAXR6LSt9H","20340","move blue B",7,"move",9,7,"(90, 60)",1,"useful","0a1ada2b-a47f-4663-9c30-a5114ee60df1","13117"
"bAXR6LSt9H","20340","move blue B",7,"move",9,8,"(77, 42)",1,"useful","0a1ada2b-a47f-4663-9c30-a5114ee60df1","13117"
"OStlH2C3nY","26316","cover blue all",3,"cover",6,0,"(58, 75)",1,"useful","062b470c-3de9-4fc5-b5b4-60685ca9862a","13119"
"OStlH2C3nY","26316","cover blue all",3,"cover",6,1,"(84, 65)",1,"useful","062b470c-3de9-4fc5-b5b4-60685ca9862a","13119"
"OStlH2C3nY","26316","cover blue all",3,"cover",6,2,"(82, 81)",1,"useful","062b470c-3de9-4fc5-b5b4-60685ca9862a","13119"
"OStlH2C3nY","26316","cover blue all",3,"cover",6,3,"(102, 80)",1,"useful","062b470c-3de9-4fc5-b5b4-60685ca9862a","13119"
"OStlH2C3nY","26316","cover blue all",3,"cover",6,4,"(103, 70)",1,"useful","062b470c-3de9-4fc5-b5b4-60685ca9862a","13119"
"OStlH2C3nY","26316","cover blue all",3,"cover",6,5,"(89, 78)",1,"useful","062b470c-3de9-4fc5-b5b4-60685ca9862a","13119"
"Pahd3wUdt8","47326","move red B1",8,"move",9,0,"(74, 78)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"Pahd3wUdt8","47326","move red B1",8,"move",9,1,"(81, 60)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"Pahd3wUdt8","47326","move red B1",8,"move",9,2,"(77, 76)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"Pahd3wUdt8","47326","move red B1",8,"move",9,3,"(95, 61)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"Pahd3wUdt8","47326","move red B1",8,"move",9,4,"(99, 44)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"Pahd3wUdt8","47326","move red B1",8,"move",9,5,"(102, 43)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"Pahd3wUdt8","47326","move red B1",8,"move",9,6,"(83, 46)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
"Pahd3wUdt8","47326","move red B1",8,"move",9,7,"(101, 42)",1,"useful","0a717cc3-5560-4473-b234-5a484a86be9c","13160"
