anonID,importId,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
2V7NZvsXpY,58601,move red C,"(75, 67)",21,8,"[(90, 50) (90, 52) (90, 66) (90, 67) (90, 69) (90, 89) (91, 50) (91, 52)
 (91, 66) (91, 67) (91, 69) (91, 89) (74, 52) (74, 66) (74, 89) (75, 50)
 (77, 52) (77, 66) (77, 89) (74, 69) (75, 66)]",1.0,44,21.741,"['move red C1', 'move blue C1', 'move red C', 'clear nocolor A', 'fill nocolor C1', 'move blue C', 'cover green all', 'clear nocolor A2']"
2V7NZvsXpY,58601,uncover blue all,"(75, 73)",21,12,"[(80, 96) (80, 97) (68, 69) (80, 65) (80, 82) (68, 52) (80, 52) (80, 56)
 (80, 69) (80, 72) (80, 73) (80, 89) (68, 56) (68, 65) (68, 82) (81, 65)
 (81, 82) (81, 96) (81, 97) (75, 56) (75, 72)]",1.0,60,29.049,"['move blue C1', 'move red A1', 'uncover blue all', 'fill nocolor A1', 'cover red all', 'move blue C2', 'move blue B2', 'move blue B', 'move blue A1', 'move blue B1', 'move blue C', 'clear nocolor A2']"
2V7NZvsXpY,58601,uncover green all,"(68, 89)",16,13,"[(83, 96) (83, 97) (83, 62) (83, 57) (83, 59) (83, 66) (83, 72) (83, 73)
 (83, 89) (68, 66) (70, 89) (76, 57) (76, 59) (70, 66) (76, 72) (76, 73)]",1.0,36,17.609,"['uncover blue all', 'move green A1', 'move green B2', 'move green B', 'move green B1', 'cover red all', 'uncover green all', 'fill nocolor C2', 'move blue C2', 'move green A2', 'move green A', 'move green C2', 'clear nocolor C1']"
5yJeBOxt2z,20340,clear nocolor A2,"(75, 92)",20,11,"[(76, 54) (75, 46) (75, 78) (75, 84) (75, 86) (75, 88) (76, 61) (76, 71)
 (76, 80) (76, 83) (77, 46) (77, 78) (77, 84) (77, 86) (77, 88) (75, 51)
 (76, 51) (76, 63) (76, 67) (77, 51)]",1.0,45,22.132,"['move red C1', 'move red C', 'move red A1', 'move red B', 'move green A1', 'fill nocolor A1', 'move red B2', 'move red C2', 'uncover red all', 'clear nocolor A2', 'move red B1']"
5yJeBOxt2z,20340,clear nocolor B2,"(64, 80)",32,13,"[(81, 61) (81, 80) (101, 61) (101, 78) (101, 80) (101, 92) (64, 61)
 (101, 51) (101, 54) (101, 55) (101, 57) (101, 58) (101, 59) (101, 67)
 (101, 71) (101, 84) (101, 86) (101, 88) (64, 51) (64, 59) (81, 54)
 (81, 57) (81, 71) (64, 55) (64, 67) (81, 51) (81, 58) (81, 67) (64, 54)
 (64, 71) (64, 78) (81, 78)]",1.0,45,22.472,"['fill nocolor B1', 'move blue C1', 'move blue A', 'uncover blue all', 'clear nocolor B2', 'uncover red all', 'move blue C2', 'move blue A1', 'move blue B1', 'move blue A2', 'move blue C', 'cover green all', 'move red B1']"
5yJeBOxt2z,20340,cover blue all,"(75, 55)",41,12,"[(75, 59) (101, 63) (102, 67) (104, 67) (106, 51) (96, 63) (98, 63)
 (102, 51) (104, 51) (106, 67) (85, 51) (96, 51) (96, 55) (96, 59)
 (96, 67) (98, 51) (98, 55) (98, 59) (98, 67) (101, 51) (101, 55)
 (101, 59) (101, 67) (102, 55) (102, 59) (102, 63) (104, 55) (104, 59)
 (104, 63) (106, 55) (106, 59) (106, 63) (75, 51) (76, 51) (76, 63)
 (76, 67) (77, 51) (81, 51) (81, 67) (85, 63) (76, 59)]",1.0,56,27.908,"['move red C1', 'move red C', 'move red A1', 'move red B', 'move green A1', 'fill nocolor A1', 'move red B2', 'move red C2', 'uncover red all', 'cover blue all', 'clear nocolor A2', 'move red B1']"
5yJeBOxt2z,20340,cover green all,"(73, 54)",0,1,[],1.0,72,34.828,['cover green all']
5yJeBOxt2z,20340,fill nocolor C1,"(69, 86)",29,13,"[(89, 67) (106, 67) (106, 84) (106, 86) (73, 67) (96, 67) (96, 84)
 (96, 86) (98, 67) (98, 84) (98, 86) (101, 67) (101, 84) (101, 86)
 (72, 67) (73, 84) (73, 86) (75, 84) (75, 86) (77, 84) (77, 86) (79, 67)
 (64, 67) (76, 67) (81, 67) (89, 84) (89, 86) (69, 67) (69, 84)]",1.0,42,20.888,"['move red C1', 'move blue C1', 'fill nocolor C1', 'move green A1', 'move green B2', 'move green B', 'clear nocolor C2', 'move green B1', 'cover red all', 'uncover green all', 'move green A2', 'move green A', 'move green C1']"
5yJeBOxt2z,20340,fill nocolor C2,"(85, 88)",34,12,"[(85, 71) (102, 51) (102, 71) (102, 88) (104, 51) (104, 71) (104, 88)
 (73, 51) (85, 51) (73, 71) (96, 51) (96, 71) (96, 88) (98, 51) (98, 71)
 (98, 88) (101, 51) (101, 71) (101, 88) (64, 51) (72, 51) (73, 88)
 (75, 88) (76, 71) (77, 88) (79, 51) (81, 71) (72, 71) (75, 51) (76, 51)
 (77, 51) (79, 71) (81, 51) (64, 71)]",1.0,42,19.83,"['move green A1', 'move green B2', 'move green B', 'move green B1', 'cover red all', 'uncover green all', 'fill nocolor C2', 'move blue C2', 'move green A2', 'move green A', 'move green C2', 'clear nocolor C1']"
5yJeBOxt2z,20340,move blue B,"(77, 78)",8,7,"[(73, 63) (73, 46) (73, 61) (72, 63) (73, 78) (73, 80) (73, 83) (77, 46)]",1.0,48,24.052,"['fill nocolor B1', 'clear nocolor A', 'move red B', 'move blue B', 'move blue B1', 'clear nocolor A2', 'move red B1']"
