0.0,10000
0.5,10001
1.0,10002
1.5,10003
2.0,10004
2.5,10005
3.0,10006
3.5,10007
4.0,10008
4.5,10009
5.0,10010
5.5,10011
6.0,10012
6.5,10013
7.0,10014
7.5,10015
8.0,10016
8.5,10017
9.0,10018
9.5,10019
10.0,10020
10.5,10021
11.0,10022
11.5,10023
12.0,10024
12.5,10025
13.0,10026
13.5,10027
14.0,10028
14.5,10029
15.0,10030
15.5,10031
16.0,10032
16.5,10033
17.0,10034
17.5,10035
18.0,10036
18.5,10037
19.0,10038
19.5,10039
20.0,10040
20.5,10041
21.0,10042
21.5,10043
22.0,10044
22.5,10045
23.0,10046
23.5,10047
24.0,10048
24.5,10049
25.0,10050
25.5,10051
26.0,10052
26.5,10053
27.0,10054
27.5,10055
28.0,10056
28.5,10057
29.0,10058
29.5,10059
30.0,10060
30.5,10061
31.0,10062
31.5,10063
32.0,10064
32.5,10065
33.0,10066
33.5,10067
34.0,10068
34.5,10069
35.0,10070
35.5,10071
36.0,10072
36.5,10073
37.0,10074
37.5,10075
38.0,10076
38.5,10077
39.0,10078
39.5,10079
40.0,10080
40.5,10081
41.0,10082
41.5,10083
42.0,10084
42.5,10085
43.0,10086
43.5,10087
44.0,10088
44.5,10089
45.0,10090
45.5,10091
46.0,10092
46.5,10093
47.0,10094
47.5,10095
48.0,10096
48.5,10097
49.0,10098
49.5,10099
