ID,goal_type,model,parameter1,parameter2,NLL
39232,clear,sal_prag,-2.0477365522031183,-0.38415210024336066,40.829209952638905
39232,clear,literal,42.44547643666887,,26.21164433238258
39232,clear,pragmatic,0.3635752325701984,0.059411269242808554,44.23285755265846
39232,cover,sal_prag,1.016649304752005,1.1191796101330298,55.9657188698749
39232,cover,literal,42.44547643666887,,37.915486333720544
39232,cover,pragmatic,0.607686868699957,0.5418429367813842,66.13762787082172
39232,fill,sal_prag,1.2380338324869848,1.0765431405911667,88.06664750291047
39232,fill,literal,42.44547643666887,,227.97996875824992
39232,fill,pragmatic,0.19302341335958972,0.1976308343932872,99.71386318471696
39232,move,sal_prag,1.1089013821393887,0.943071352997898,94.42517891110681
39232,move,literal,42.44547643666887,,60.20532643954691
39232,move,pragmatic,0.6571446999352071,0.5148629973529599,106.3407762755826
39232,uncover,sal_prag,1.7232924771319444,1.9970468919596112,45.495604944526484
39232,uncover,literal,42.44547643666887,,30.044954763635786
39232,uncover,pragmatic,0.8605931121169577,0.7551183133393922,55.936776133794844
