experiment,ID,anonID,importId,goal_type,first_move_serves_goal,stepwise_salience,euclidean_salience,random_stepwise_salience,random_euclidean_salience
E1,14189.0,,14189.0,cover,1.0,15,14.035668847618199,7.935,7.50503047963535
E1,14189.0,,14189.0,uncover,0.0,15,15.0,8.286,7.864654789535672
E1,14189.0,,14189.0,clear,1.0,1,1.0,6.887,5.377488225129102
E1,14189.0,,14189.0,fill,1.0,3,2.23606797749979,6.882,5.35586543651649
E1,14189.0,,14189.0,cover,1.0,15,15.0,7.906,7.494073911862129
E1,19737.0,,19737.0,uncover,1.0,10,10.0,7.929,7.441726129393502
E1,19737.0,,19737.0,clear,1.0,8,7.0710678118654755,6.6,5.166084824658918
E1,19737.0,,19737.0,cover,1.0,12,11.045361017187261,7.673,7.170618595651584
E1,19737.0,,19737.0,move,1.0,8,8.0,6.509,5.080025371985784
E1,19737.0,,19737.0,fill,1.0,5,5.0,6.603,5.174302945817923
E1,19737.0,,19737.0,uncover,1.0,1,1.0,7.95,7.430358022469023
E1,19737.0,,19737.0,move,0.0,2,1.4142135623730951,6.571,5.147854139296804
E1,19737.0,,19737.0,cover,1.0,14,14.0,7.873,7.376909821171721
E1,19737.0,,19737.0,fill,1.0,3,3.0,6.517,5.110652187307154
E1,19737.0,,19737.0,clear,1.0,1,1.0,6.533,5.117189523275835
E1,56864.0,,56864.0,clear,1.0,6,4.47213595499958,7.015,5.4547173981990715
E1,56864.0,,56864.0,move,0.0,8,7.0710678118654755,6.754,5.225576677979017
E1,56864.0,,56864.0,uncover,1.0,11,11.0,7.947,7.598992852040262
E1,56864.0,,56864.0,clear,1.0,3,2.23606797749979,6.752,5.239517763143836
E1,56864.0,,56864.0,fill,1.0,3,2.23606797749979,6.752,5.246386549221194
E1,56864.0,,56864.0,cover,1.0,1,1.0,7.911,7.537832320838446
E1,56864.0,,56864.0,fill,1.0,2,2.0,6.878,5.3442962124412245
E1,56864.0,,56864.0,uncover,1.0,7,6.082762530298219,7.943,7.603261489314681
E1,56864.0,,56864.0,cover,1.0,1,1.0,8.024,7.668473473841445
E1,56864.0,,56864.0,move,1.0,6,4.47213595499958,7.004,5.441438502637906
E1,66473.0,,66473.0,cover,1.0,2,1.4142135623730951,7.956,7.510175857306631
E1,66473.0,,66473.0,fill,1.0,9,9.0,6.866,5.318911270283163
E1,66473.0,,66473.0,uncover,1.0,12,11.045361017187261,8.162,7.6821718379168615
E1,66473.0,,66473.0,fill,1.0,6,6.0,6.852,5.336285491130095
E1,66473.0,,66473.0,move,1.0,11,8.54400374531753,6.941,5.4180061996522255
E1,66473.0,,66473.0,move,0.0,6,4.242640687119285,6.816,5.30958774013783
E1,66473.0,,66473.0,uncover,1.0,14,13.038404810405298,8.224,7.750309344020661
E1,66473.0,,66473.0,clear,1.0,0,0.0,6.793,5.299363772199537
E1,66473.0,,66473.0,clear,1.0,5,4.123105625617661,6.823,5.322820385759138
E1,66473.0,,66473.0,cover,1.0,0,0.0,7.999,7.555713871613642
E1,67590.0,,67590.0,cover,1.0,1,1.0,8.112,7.726074232494435
E1,67590.0,,67590.0,move,1.0,9,8.06225774829855,6.839,5.461303977594714
E1,67590.0,,67590.0,clear,1.0,6,4.242640687119285,6.786,5.3868496242644355
E1,67590.0,,67590.0,uncover,1.0,1,1.0,8.447,8.03338432655851
E1,67590.0,,67590.0,fill,1.0,3,2.23606797749979,6.861,5.475717569202223
E1,67590.0,,67590.0,clear,1.0,7,5.385164807134504,6.929,5.5255935701189625
E1,67590.0,,67590.0,move,1.0,3,2.23606797749979,6.883,5.480255531066239
E1,67590.0,,67590.0,fill,1.0,3,2.23606797749979,7.002,5.55650416396804
E1,67590.0,,67590.0,uncover,1.0,15,14.035668847618199,8.054,7.6882291700956005
E1,67590.0,,67590.0,cover,1.0,1,1.0,8.342,7.944371362564534
E1,97388.0,,97388.0,uncover,1.0,0,0.0,8.233,7.64627072303992
E1,97388.0,,97388.0,cover,1.0,1,1.0,8.072,7.524584550633657
E1,97388.0,,97388.0,move,1.0,7,5.385164807134504,6.856,5.4458390061996536
E1,97388.0,,97388.0,cover,1.0,13,12.041594578792296,7.979,7.411391700647376
E1,97388.0,,97388.0,move,1.0,6,4.242640687119285,7.051,5.610112702753015
E1,97388.0,,97388.0,fill,1.0,4,3.1622776601683795,6.938,5.486947520144505
E1,97388.0,,97388.0,clear,1.0,3,2.23606797749979,7.043,5.584987241420304
E1,97388.0,,97388.0,uncover,1.0,6,6.0,8.122,7.557810154086017
E1,97388.0,,97388.0,clear,1.0,2,1.4142135623730951,6.907,5.490343297287509
E1,97388.0,,97388.0,fill,1.0,4,3.1622776601683795,6.885,5.446444220869963
E1,26365.0,,26365.0,uncover,1.0,11,10.04987562112089,8.212,7.7890149307095635
E1,26365.0,,26365.0,clear,1.0,7,5.0,6.78,5.3073623104923575
E1,26365.0,,26365.0,uncover,1.0,15,15.0,8.288,7.843088149350291
E1,26365.0,,26365.0,move,1.0,3,3.0,6.738,5.264755117466369
E1,26365.0,,26365.0,cover,1.0,6,6.0,8.325,7.882591043747592
E1,26365.0,,26365.0,move,1.0,8,7.0710678118654755,6.927,5.417702818962719
E1,26365.0,,26365.0,fill,1.0,5,5.0,6.684,5.227108465242248
E1,26365.0,,26365.0,fill,1.0,3,2.23606797749979,6.818,5.329663281598976
E1,26365.0,,26365.0,cover,1.0,15,14.035668847618199,8.469,8.004348441597271
E1,26365.0,,26365.0,clear,1.0,1,1.0,6.743,5.265340300215426
E1,62686.0,,62686.0,fill,1.0,3,2.23606797749979,6.885,5.454775588967177
E1,62686.0,,62686.0,fill,1.0,3,3.0,6.677,5.28479267296674
E1,62686.0,,62686.0,uncover,1.0,4,4.0,8.864,8.332610171364058
E1,62686.0,,62686.0,move,1.0,3,3.0,6.71,5.3183483075960964
E1,62686.0,,62686.0,move,1.0,11,8.54400374531753,6.811,5.422589274964075
E1,62686.0,,62686.0,cover,1.0,6,6.0,8.638,8.093053349354598
E1,62686.0,,62686.0,clear,1.0,1,1.0,6.54,5.189216052281373
E1,62686.0,,62686.0,uncover,1.0,6,6.0,8.928,8.368820836652793
E1,62686.0,,62686.0,clear,1.0,9,7.280109889280518,6.752,5.361171405489109
E1,62686.0,,62686.0,cover,1.0,2,1.4142135623730951,8.87,8.32758020638964
E1,31601.0,,31601.0,move,1.0,10,8.246211251235321,6.73,5.27704240416426
E1,31601.0,,31601.0,uncover,1.0,0,0.0,7.635,7.31571552729347
E1,31601.0,,31601.0,uncover,1.0,15,15.0,7.449,7.102765084795215
E1,31601.0,,31601.0,cover,0.0,14,14.0,7.776,7.478459741353284
E1,31601.0,,31601.0,cover,0.0,4,3.1622776601683795,7.836,7.486612313540107
E1,31601.0,,31601.0,clear,1.0,10,8.246211251235321,6.461,5.037030166953992
E1,31601.0,,31601.0,fill,1.0,6,5.0990195135927845,6.712,5.247886557869533
E1,31601.0,,31601.0,clear,1.0,4,3.1622776601683795,6.558,5.126960039745672
E1,31601.0,,31601.0,fill,1.0,5,4.123105625617661,6.629,5.196512955677208
E1,31601.0,,31601.0,move,-1.0,9,7.280109889280518,6.587,5.152167445638884
E1,67505.0,,67505.0,fill,1.0,2,2.0,6.579,5.17912303963892
E1,67505.0,,67505.0,uncover,1.0,4,4.0,7.392,6.97578994509486
E1,67505.0,,67505.0,uncover,1.0,3,3.0,7.664,7.285817973158207
E1,67505.0,,67505.0,fill,1.0,2,2.0,6.367,4.998415718370674
E1,67505.0,,67505.0,cover,1.0,13,12.041594578792296,7.36,6.956514913529061
E1,67505.0,,67505.0,cover,1.0,1,1.0,7.327,6.967357673738628
E1,67505.0,,67505.0,move,1.0,3,2.23606797749979,6.4,5.064021286775052
E1,67505.0,,67505.0,clear,1.0,1,1.0,6.657,5.233465077565625
E1,67505.0,,67505.0,move,1.0,9,9.0,6.443,5.078250450827908
E1,67505.0,,67505.0,clear,1.0,8,6.324555320336759,6.438,5.063691071287053
E1,39232.0,,39232.0,uncover,1.0,2,1.4142135623730951,7.801,7.23386504892641
E1,39232.0,,39232.0,clear,1.0,4,3.1622776601683795,6.875,5.491295543996031
E1,39232.0,,39232.0,move,1.0,5,4.123105625617661,6.711,5.2963786723828905
E1,39232.0,,39232.0,fill,1.0,2,2.0,6.771,5.356584282856942
E1,39232.0,,39232.0,uncover,1.0,2,1.4142135623730951,8.135,7.568049477043792
E1,39232.0,,39232.0,cover,1.0,2,2.0,7.861,7.30839186611098
E1,39232.0,,39232.0,move,1.0,4,2.8284271247461903,6.773,5.341412783151976
E1,39232.0,,39232.0,clear,1.0,1,1.0,6.616,5.2252187804872285
E1,39232.0,,39232.0,fill,1.0,4,3.1622776601683795,6.775,5.365580257124948
E1,39232.0,,39232.0,cover,1.0,5,5.0,7.716,7.164365300515565
E1,36524.0,,36524.0,uncover,1.0,4,4.0,8.316,7.8412038762292795
E1,36524.0,,36524.0,fill,1.0,3,2.23606797749979,6.811,5.261645313492433
E1,36524.0,,36524.0,move,0.0,2,1.4142135623730951,6.854,5.295067811403138
