"ID","goal_type","model","parameter1","parameter2","NLL"
"13662","clear","sal_prag",-0.133107594760284,0.462821160198919,47.8245555994356
"13662","clear","literal",40.0692438534366,NA,32.0740318372154
"13662","clear","pragmatic",0.635802222270889,0.971687207398541,49.9731944394581
"13662","cover","sal_prag",1.02740242317038,0.902690653175122,80.4454220961667
"13662","cover","literal",40.0692438534366,NA,218.917099775155
"13662","cover","pragmatic",1.02028853228157,0.131199292732984,96.1603180882897
"13662","fill","sal_prag",0.698271807625302,0.807119546827318,83.2772963579195
"13662","fill","literal",40.0692438534366,NA,52.9331180853932
"13662","fill","pragmatic",1.16213163322533,37.860944370779,75.1123199385288
"13662","move","sal_prag",-0.192781565135616,0.513753827956687,97.7361171977472
"13662","move","literal",40.0692438534366,NA,413.476710392639
"13662","move","pragmatic",0.26203241313108,0.222013264865432,100.25362141314
"13662","uncover","sal_prag",0.452371206047731,0.669870760221203,66.3676166934877
"13662","uncover","literal",40.0692438534366,NA,39.8951978016531
"13662","uncover","pragmatic",0.732154354938454,0.77217735883881,67.9255669392287
"13861","clear","sal_prag",1.06559717038625,0.772793989223347,56.9293462533857
"13861","clear","literal",39.6211954982706,NA,40.3871150560304
"13861","clear","pragmatic",0.246089036769892,0.791102406741938,60.8305123002856
"13861","cover","sal_prag",1.54604160700901,1.56792877431287,46.7894949709785
"13861","cover","literal",39.6211954982706,NA,36.5401107969591
"13861","cover","pragmatic",0.555264265294136,0.46944691311809,56.2385688189723
"13861","fill","sal_prag",0.923212851411074,1.4629868984601,69.418040120816
"13861","fill","literal",39.6211954982706,NA,44.469209507707
"13861","fill","pragmatic",0.69263478509602,78.693894651216,60.1822127094375
"13861","move","sal_prag",0.205488570553948,0.541534226722316,97.498862178389
"13861","move","literal",39.6211954982706,NA,100.673156565868
"13861","move","pragmatic",0.601967217108005,11.310253382923,98.5806573596111
"13861","uncover","sal_prag",1.33930025118543,0.935704722629495,41.8946849907056
"13861","uncover","literal",39.6211954982706,NA,67.1625638402847
"13861","uncover","pragmatic",0.86210035623905,0.685623945248104,51.0234284747519
"14189","clear","sal_prag",1.0705832261918,0.977768236131939,52.4316225560884
"14189","clear","literal",38.1663887327529,NA,35.4989457454949
"14189","clear","pragmatic",0.831220389692354,0.201437128096776,56.0412933119387
"14189","cover","sal_prag",0.768176166182193,0.65439882507687,55.624506297382
"14189","cover","literal",38.1663887327529,NA,41.3519164746957
"14189","cover","pragmatic",0.0582171343130806,0.277100055067224,60.4451958832713
"14189","fill","sal_prag",0.00903632580694953,0.453629288517727,75.4960998946071
"14189","fill","literal",38.1663887327529,NA,47.3823847546207
"14189","fill","pragmatic",0.966038498337448,0.491148291691554,77.1320598990218
"14189","move","sal_prag",1.33352279942836,1.18842786986516,47.3304647988962
"14189","move","literal",38.1663887327529,NA,25.6716473313163
"14189","move","pragmatic",0.203044680248028,0.155134372818167,56.2564932834489
"14189","uncover","sal_prag",1.36691460526207,1.96712298414363,68.3853097317402
"14189","uncover","literal",38.1663887327529,NA,81.7772505438861
"14189","uncover","pragmatic",0.100094992052525,0.0252739691524782,84.6376631590775
"16229","clear","sal_prag",2.08481284504372,1.47023689817778,60.7716170223879
"16229","clear","literal",2.15074062471152,NA,57.8181941886589
"16229","clear","pragmatic",0.113479730126306,0.690948108548926,66.7489962048016
"16229","cover","sal_prag",1.31842634895076,0.713180897697586,28.7587223173088
"16229","cover","literal",2.15074062471152,NA,35.7421064124049
